inc_id,inc_off_count,inc_coh_homophily_ratio
UF17-739,2,0
UF17-740,3,0
UF17-742,2,0
UF17-743,3,0
UF17-744,5,0.60000002
UF17-746,2,0
UF17-747,2,1
UF17-748,2,0
UF17-749,2,0
UF17-750,2,0
UF17-751,2,1
UF17-752,2,0
UF17-753,2,0
UF17-754,2,0
UF17-757,3,0.66666669
UF17-759,3,0.66666669
UF17-760,6,0
UF17-761,2,0
UF17-762,2,0
UF17-763,2,1
UF17-765,2,1
UF17-766,5,0
UF17-767,2,0
UF17-769,2,0
UF17-770,2,0
UF17-771,2,0
UF17-773,2,0
UF17-774,3,0
UF17-775,2,0
UF17-777,2,1
UF17-778,4,0.5
UF17-780,3,0.66666669
UF17-781,6,0.33333334
UF17-783,2,0
UF17-785,2,0
UF17-786,3,0
UF17-787,4,0
UF17-788,2,0
UF17-791,4,0.5
UF17-796,2,0
UF17-797,4,0
UF17-798,5,0.80000001
UF17-800,2,0
UF17-802,2,0
UF18-0020,2,0
UF18-0099,3,0
