off_id,off_gender,off_race,off_age,off_yos,off_cohort,off_uof_count
2974,Male,Hispanic,31,3,117th,6
2977,Male,Hispanic,32,2,117th,14
2978,Male,Hispanic,26,2,117th,14
2979,Male,Hispanic,25,3,117th,8
2980,Female,Hispanic,37,3,117th,1
2981,Female,White,28,3,117th,2
2983,Male,White,36,3,117th,7
2984,Female,Hispanic,27,2,117th,4
2985,Male,Hispanic,40,3,117th,6
2986,Male,Hispanic,39,2,117th,4
2987,Male,Hispanic,25,2,117th,4
2989,Male,White,27,3,117th,2
2990,Male,Hispanic,34,3,117th,5
2994,Male,Hispanic,38,2,118th,9
2996,Male,Hispanic,30,2,118th,1
2997,Male,Hispanic,27,1,118th,10
3002,Male,Black,28,2,118th,2
3003,Male,Hispanic,27,1,118th,10
3005,Male,White,30,2,118th,5
3007,Male,White,28,2,118th,1
3008,Male,Hispanic,29,2,118th,1
3009,Male,Hispanic,28,2,118th,3
3010,Male,Hispanic,30,2,118th,7
3014,Male,White,25,2,118th,5
3016,Male,Hispanic,27,2,118th,5
3017,Male,Hispanic,26,1,118th,6
3018,Male,Hispanic,32,2,118th,4
3019,Female,White,27,1,118th,8
3020,Male,Hispanic,24,2,118th,7
3021,Male,Hispanic,31,1,118th,5
3022,Male,Hispanic,39,2,118th,2
3025,Male,Hispanic,25,2,118th,8
3026,Male,Hispanic,26,2,118th,8
3027,Male,White,24,2,118th,6
3028,Male,White,24,2,118th,8
3029,Male,Hispanic,28,1,118th,5
3032,Female,Hispanic,38,2,118th,7
3033,Male,Hispanic,31,2,118th,7
3035,Male,White,26,2,118th,8
3036,Female,White,32,2,118th,3
3037,Male,Hispanic,27,1,119th,1
3038,Male,Hispanic,47,1,119th,1
3040,Male,Hispanic,28,0,119th,7
3041,Male,Hispanic,23,1,119th,1
3042,Male,Hispanic,34,1,119th,3
3043,Male,White,24,1,119th,3
3044,Male,Hispanic,23,1,119th,6
3045,Male,Black,23,1,119th,2
3047,Male,Hispanic,25,1,119th,6
3048,Female,Hispanic,32,1,119th,3
3049,Male,Hispanic,27,1,119th,4
3051,Male,Hispanic,23,1,119th,3
3053,Male,Hispanic,31,0,119th,5
3054,Male,White,44,1,119th,4
3056,Male,Hispanic,25,1,119th,7
3057,Male,Hispanic,40,1,119th,4
3058,Male,Black,27,1,119th,6
3059,Male,Hispanic,39,1,119th,5
3060,Male,Alaskan Native/Native American,23,1,119th,1
3061,Female,Hispanic,22,1,119th,6
3062,Female,Hispanic,24,0,119th,10
3063,Male,Hispanic,29,1,119th,6
3064,Male,White,30,1,119th,2
3066,Female,Hispanic,33,0,119th,2
3068,Male,Hispanic,37,1,119th,6
3070,Male,Hispanic,26,1,119th,1
3071,Male,Hispanic,30,1,119th,9
3073,Male,Hispanic,30,1,119th,1
3074,Male,Hispanic,22,1,119th,3
3076,Male,Hispanic,29,1,119th,2
3077,Male,Hispanic,25,1,119th,2
3078,Male,Hispanic,23,1,119th,4
3079,Male,Hispanic,30,1,119th,7
3080,Female,Hispanic,32,1,119th,3
3082,Male,Hispanic,29,1,119th,3
3083,Female,White,27,1,119th,1
3085,Female,Hispanic,37,1,119th,3
3086,Male,Hispanic,37,1,119th,5
3087,Male,Hispanic,25,0,120th,6
3088,Male,White,31,0,120th,6
3089,Male,Black,40,0,120th,6
3090,Male,Hispanic,43,0,120th,1
3091,Female,White,27,0,120th,5
3092,Male,Hispanic,34,0,120th,5
3093,Male,Hispanic,25,0,120th,10
3094,Male,Hispanic,23,0,120th,5
3095,Male,Hispanic,37,0,120th,8
3096,Male,White,41,0,120th,2
3097,Male,White,27,0,120th,4
3100,Female,Hispanic,33,0,120th,6
3101,Male,White,30,0,120th,7
3102,Male,Hispanic,25,0,120th,8
3103,Male,Hispanic,32,0,120th,3
3104,Male,White,23,0,120th,5
3105,Male,Hispanic,27,0,120th,5
3106,Male,Hispanic,26,0,120th,3
3108,Male,White,30,0,120th,4
3109,Female,Hispanic,23,0,120th,3
3110,Male,Hispanic,25,0,120th,4
3112,Female,Hispanic,27,0,120th,3
3114,Male,Hispanic,24,0,120th,2
3115,Male,Black,37,0,120th,3
3116,Female,Hispanic,27,0,120th,2
3117,Male,Hispanic,23,0,120th,9
3118,Male,White,34,0,120th,5
3119,Male,White,22,0,120th,4
3120,Female,Hispanic,29,0,121st,5
3121,Male,Hispanic,27,0,121st,3
3123,Male,Hispanic,23,0,121st,2
3125,Male,Hispanic,26,0,121st,5
3126,Male,Hispanic,23,0,121st,6
3127,Female,Hispanic,33,0,121st,3
3128,Female,Hispanic,27,0,121st,3
3129,Female,White,23,0,121st,3
3130,Female,White,26,0,121st,6
3132,Male,Hispanic,32,0,121st,8
3133,Male,Hispanic,37,0,121st,11
3135,Female,White,23,0,121st,9
3136,Male,White,28,0,121st,2
3138,Male,Hispanic,28,0,121st,2
3139,Male,Hispanic,22,0,121st,3
3140,Male,Hispanic,25,0,121st,6
3142,Female,Hispanic,26,0,121st,6
3143,Female,White,30,0,121st,1
3144,Male,Hispanic,23,0,121st,4
3145,Male,Hispanic,29,0,121st,2
3147,Female,Hispanic,38,0,121st,5
3148,Female,Hispanic,33,0,121st,2
3149,Male,Hispanic,20,0,121st,2
3150,Male,Hispanic,25,0,121st,14
3151,Male,Hispanic,29,0,121st,5
3152,Male,Hispanic,25,0,121st,9
3153,Male,Hispanic,22,0,121st,7
3155,Male,White,23,0,121st,7
3156,Male,Hispanic,22,0,121st,1
3157,Male,White,28,0,121st,1
3158,Female,Hispanic,21,0,121st,3
3159,Male,Hispanic,29,0,121st,2
3160,Female,Hispanic,22,0,100th,3
3161,Female,Hispanic,24,0,121st,3
3162,Male,Hispanic,24,0,121st,3
3163,Male,Hispanic,29,0,121st,3
3164,Male,White,26,0,121st,8
843,Male,Hispanic,61,34,69th,3
