date,year,inc_id,off_id,off_gender,off_race,off_age,off_yos,off_cohort,off_uof_count,inc_off_count
06/29/2017,2017,UF17-427,2252,Male,Hispanic,49,15,101st,7,2
08/06/2017,2017,UF17-717,2254,Male,Hispanic,50,15,101st,1,2
08/19/2017,2017,UF17-607,2263,Male,Hispanic,58,15,101st,1,4
01/25/2017,2017,UF17-043,2266,Male,White,38,15,101st,1,5
11/27/2017,2017,UF17-704,2278,Male,Hispanic,38,16,101st,1,1
07/15/2017,2017,UF17-423,2285,Male,Hispanic,43,14,102nd,4,4
08/29/2017,2017,UF17-442,2296,Male,Hispanic,60,15,102nd,2,1
11/28/2017,2017,UF17-731,2297,Male,Hispanic,44,15,102nd,2,2
06/29/2017,2017,UF17-426,2303,Male,White,54,14,102nd,2,3
07/10/2017,2017,UF17-381,2311,Male,Hispanic,41,14,102nd,2,3
10/25/2017,2017,UF17-630,2313,Male,Hispanic,45,15,102nd,1,3
07/17/2017,2017,UF17-375,2320,Male,Hispanic,45,14,102nd,1,4
10/25/2017,2017,UF17-630,2328,Male,Hispanic,41,15,102nd,2,3
03/16/2017,2017,UF17-133,2331,Male,Hispanic,46,14,102nd,1,3
06/06/2017,2017,UF17-378,2338,Male,Hispanic,42,14,102nd,2,1
06/26/2017,2017,UF17-289,2343,Male,Hispanic,38,14,102nd,1,1
06/30/2017,2017,UF17-429,2346,Male,Hispanic,36,14,102nd,4,2
12/27/2017,2017,UF17-783,2353,Male,Hispanic,56,15,102nd,1,2
07/15/2017,2017,UF17-406,2361,Male,Hispanic,40,13,103rd,2,2
10/02/2017,2017,UF17-599,2362,Male,Hispanic,40,14,103rd,4,2
03/10/2017,2017,UF17-110,2369,Male,Black,39,13,103rd,1,1
03/12/2017,2017,UF17-099,2371,Male,Hispanic,50,13,103rd,2,3
09/01/2017,2017,UF17-520,2372,Male,Hispanic,36,14,103rd,1,4
02/01/2017,2017,UF17-028,2383,Male,Hispanic,37,13,103rd,1,3
08/31/2017,2017,UF17-573,2389,Male,White,57,14,103rd,2,6
07/27/2017,2017,UF17-483,2390,Male,Hispanic,46,13,103rd,4,2
08/26/2017,2017,UF17-530,2392,Male,Hispanic,48,14,103rd,1,4
10/14/2017,2017,UF17-721,2395,Male,Hispanic,39,14,103rd,4,3
01/21/2017,2017,UF17-078,2396,Male,Hispanic,37,12,104th,5,2
02/28/2017,2017,UF17-094,2398,Male,Hispanic,36,12,104th,6,1
11/12/2017,2017,UF17-746,2412,Male,White,36,13,104th,1,3
01/10/2017,2017,UF17-021,2421,Male,Hispanic,46,12,104th,3,2
06/01/2017,2017,UF17-358,2423,Male,Hispanic,39,12,104th,1,2
09/04/2017,2017,UF17-538,2425,Male,Hispanic,41,13,104th,7,7
04/21/2017,2017,UF17-255,2431,Male,Hispanic,41,12,104th,1,6
11/19/2017,2017,UF17-700,2433,Male,Hispanic,41,13,104th,1,1
11/19/2017,2017,UF17-728,2435,Male,Hispanic,41,13,104th,3,4
03/26/2017,2017,UF17-273,2440,Male,White,47,12,1st Lateral,2,6
02/04/2017,2017,UF17-061,2453,Male,Hispanic,35,11,105th,1,3
01/25/2017,2017,UF17-043,2458,Male,Hispanic,39,11,105th,1,5
01/27/2017,2017,UF17-053,2460,Male,White,41,11,105th,2,3
08/16/2017,2017,UF17-394,2461,Male,White,39,12,105th,4,2
10/04/2017,2017,UF17-612,2464,Female,Hispanic,52,12,105th,1,2
02/05/2017,2017,UF17-065,2473,Male,Hispanic,39,11,105th,2,1
08/21/2017,2017,UF17-527,2475,Male,Hispanic,54,12,105th,5,2
07/28/2017,2017,UF17-457,2477,Male,Hispanic,37,12,105th,3,5
06/01/2017,2017,UF17-395,2483,Male,White,51,11,106th,2,1
08/30/2017,2017,UF17-535,2484,Male,Hispanic,40,11,106th,4,6
03/06/2017,2017,UF17-145,2487,Male,Hispanic,36,11,106th,3,2
01/26/2017,2017,UF17-010,2490,Male,Hispanic,34,11,106th,1,2
01/20/2017,2017,UF17-067,2493,Male,Hispanic,45,11,106th,1,1
01/01/2017,2017,UF17-025,2496,Male,Hispanic,33,11,106th,1,2
12/25/2017,2017,UF18-0099,2497,Male,White,45,12,106th,1,3
09/29/2017,2017,UF17-601,2499,Female,Hispanic,36,11,106th,2,5
03/11/2017,2017,UF17-109,2502,Male,Hispanic,37,11,106th,4,6
02/23/2017,2017,UF17-104,2505,Male,Hispanic,40,11,106th,7,1
09/04/2017,2017,UF17-543,2506,Male,White,40,11,106th,1,1
08/17/2017,2017,UF17-498,2507,Male,White,40,11,106th,2,2
05/05/2017,2017,UF17-290,2508,Male,Hispanic,36,11,106th,4,4
06/09/2017,2017,UF17-402,2522,Male,White,33,11,107th,3,1
10/12/2017,2017,UF17-603,2525,Male,Hispanic,42,11,107th,2,3
01/15/2017,2017,UF17-011,2535,Male,White,32,10,107th,2,3
01/28/2017,2017,UF17-204,2537,Male,White,36,10,107th,1,2
09/29/2017,2017,UF17-601,2540,Male,Hispanic,40,11,107th,2,6
09/08/2017,2017,UF17-509,2541,Male,White,38,11,107th,2,2
11/14/2017,2017,UF17-697,2547,Male,Hispanic,39,11,108th,1,4
08/23/2017,2017,UF17-508,2553,Male,Hispanic,34,10,108th,4,4
01/13/2017,2017,UF17-004,2561,Male,Hispanic,33,10,108th,1,4
09/01/2017,2017,UF17-520,2563,Male,Hispanic,33,10,108th,1,4
04/12/2017,2017,UF17-213,2567,Male,White,38,10,108th,2,2
04/30/2017,2017,UF17-272,2568,Male,White,57,10,108th,3,1
12/22/2017,2017,UF17-743,2569,Male,Hispanic,40,11,108th,1,4
12/31/2017,2017,UF17-788,2575,Male,Hispanic,36,11,108th,1,2
12/01/2017,2017,UF17-705,2582,Female,Hispanic,38,11,108th,11,6
09/02/2017,2017,UF17-514,2586,Male,Hispanic,34,10,108th,5,2
07/15/2017,2017,UF17-423,2587,Male,Hispanic,40,10,108th,7,1
01/27/2017,2017,UF17-068,2596,Male,White,41,10,108th,6,3
07/28/2017,2017,UF17-457,2602,Male,Hispanic,46,11,109th,2,5
09/18/2017,2017,UF17-556,2616,Male,Hispanic,35,10,109th,10,2
08/03/2017,2017,UF17-493,2617,Male,Hispanic,36,10,109th,1,4
05/19/2017,2017,UF17-337,2628,Male,Hispanic,43,10,109th,4,6
04/07/2017,2017,UF17-165,2633,Male,Hispanic,38,9,109th,1,4
08/04/2017,2017,UF17-492,2638,Male,Hispanic,32,10,109th,3,3
08/22/2017,2017,UF17-581,2640,Male,Hispanic,34,10,109th,1,2
06/10/2017,2017,UF17-293,2643,Female,Black,38,10,109th,2,8
01/31/2017,2017,UF17-012,2644,Male,Hispanic,40,9,109th,2,5
07/16/2017,2017,UF17-468,2646,Male,Hispanic,40,10,109th,4,6
07/13/2017,2017,UF17-436,2650,Male,Hispanic,32,10,109th,14,1
04/08/2017,2017,UF17-251,2655,Male,Black,58,9,109th,4,3
06/30/2017,2017,UF17-407,2660,Male,White,32,10,109th,2,1
04/10/2017,2017,UF17-252,2663,Male,Hispanic,53,10,109th,5,2
02/15/2017,2017,UF17-171,2669,Male,Hispanic,36,9,109th,2,1
02/18/2017,2017,UF17-103,2670,Male,White,34,9,109th,11,1
07/15/2017,2017,UF17-366,2671,Male,Hispanic,40,10,109th,2,3
05/27/2017,2017,UF17-362,2680,Male,Hispanic,44,10,8th - Lateral,5,3
04/24/2017,2017,UF17-243,2681,Male,Hispanic,44,10,8th Lateral Class,4,2
12/23/2017,2017,UF17-780,2685,Male,Hispanic,41,10,110th,2,3
06/06/2017,2017,UF17-359,2686,Male,Hispanic,35,9,110th,1,2
05/17/2017,2017,UF17-238,2688,Male,White,35,9,110th,1,4
11/20/2017,2017,UF17-727,2691,Male,White,35,10,110th,7,3
09/08/2017,2017,UF17-522,2698,Male,Hispanic,43,9,110th,2,2
12/23/2017,2017,UF17-744,2699,Female,Hispanic,36,10,110th,2,2
01/21/2017,2017,UF17-027,2700,Male,Hispanic,35,9,110th,2,4
12/22/2017,2017,UF17-743,2702,Male,Hispanic,45,10,110th,1,4
10/20/2017,2017,UF17-627,2706,Male,Hispanic,43,9,110th,2,6
08/22/2017,2017,UF17-656,2709,Male,Hispanic,46,9,110th,2,6
08/01/2017,2017,UF17-491,2713,Male,White,33,9,l-10,1,6
08/26/2017,2017,UF17-511,2714,Male,White,40,9,10-Lateral,3,3
11/14/2017,2017,UF17-697,2716,Male,Hispanic,44,9,11th Lateral,1,4
06/18/2017,2017,UF17-449,2717,Male,White,33,8,111th,17,2
03/12/2017,2017,UF17-099,2718,Male,Hispanic,31,8,111th,1,3
05/28/2017,2017,UF17-263,2722,Male,Hispanic,24,8,111th,2,1
04/29/2017,2017,UF17-209,2730,Male,Hispanic,42,8,111th,3,3
05/13/2017,2017,UF17-315,2733,Male,Hispanic,41,8,111th,4,2
10/04/2017,2017,UF17-575,2735,Male,Hispanic,31,9,111th,5,2
01/13/2017,2017,UF17-063,2740,Female,Hispanic,34,8,111th,2,6
04/28/2017,2017,UF17-295,2741,Male,Hispanic,31,8,111th,8,2
12/29/2017,2017,UF17-787,2743,Male,Hispanic,41,9,111th,9,1
05/30/2017,2017,UF17-265,2757,Male,Black,36,8,111th,5,2
10/04/2017,2017,UF17-575,2765,Male,Hispanic,33,9,111th,4,2
09/17/2017,2017,UF17-571,2767,Male,Hispanic,51,9,111th,7,7
06/07/2017,2017,UF17-300,2773,Male,Hispanic,31,8,111th,11,3
06/27/2017,2017,UF17-425,2774,Male,Hispanic,38,8,111th,3,1
04/25/2017,2017,UF17-264,2775,Male,Hispanic,37,8,111th,3,1
10/12/2017,2017,UF17-677,2776,Male,White,41,9,111th,1,3
11/30/2017,2017,UF17-758,2781,Male,Hispanic,36,9,12-Lateral,2,1
12/29/2017,2017,UF17-786,2784,Male,Hispanic,43,9,13th Lateral,6,5
09/29/2017,2017,UF17-601,2785,Male,White,38,9,L-13,3,4
04/19/2017,2017,UF17-182,2787,Female,Hispanic,33,8,112th,3,2
10/12/2017,2017,UF17-603,2791,Male,Hispanic,31,8,112th,9,2
07/01/2017,2017,UF17-536,2794,Male,Hispanic,46,8,112th,5,2
11/10/2017,2017,UF17-683,2804,Male,Hispanic,50,8,112th,1,2
04/24/2017,2017,UF17-175,2806,Male,Hispanic,33,8,112th,2,2
08/25/2017,2017,UF17-515,2809,Male,White,35,8,112th,2,2
08/11/2017,2017,UF17-497,2814,Male,Hispanic,33,8,112th,4,3
04/12/2017,2017,UF17-189,2822,Male,Hispanic,48,8,112th,3,3
02/23/2017,2017,UF17-104,2827,Male,Hispanic,43,6,14th Lateral,5,2
06/28/2017,2017,UF17-372,2838,Male,Hispanic,31,6,113th,1,2
06/12/2017,2017,UF17-404,2839,Male,Hispanic,36,6,113th,2,6
06/04/2017,2017,UF17-327,2840,Male,White,28,6,113th,7,3
06/10/2017,2017,UF17-293,2842,Male,Hispanic,30,6,113th,5,8
10/18/2017,2017,UF17-682,2845,Male,Hispanic,28,6,113th,11,4
12/03/2017,2017,UF17-768,2848,Male,White,30,6,113th,9,2
03/09/2017,2017,UF17-107,2851,Male,Hispanic,40,5,113th,1,4
08/17/2017,2017,UF17-498,2853,Male,Hispanic,29,6,113th,3,3
06/28/2017,2017,UF17-419,2854,Male,White,33,6,113th,6,2
05/27/2017,2017,UF17-267,2855,Male,Hispanic,32,5,16th-Lateral,6,1
04/24/2017,2017,UF17-243,2856,Male,White,43,5,16th - Lateral,2,4
01/30/2017,2017,UF17-064,2858,Male,White,32,4,114th,2,4
10/19/2017,2017,UF17-752,2862,Male,White,33,5,114th,10,2
06/19/2017,2017,UF17-344,2864,Female,Hispanic,31,5,114th,1,3
05/25/2017,2017,UF17-343,2865,Male,Hispanic,29,5,114th,1,4
02/16/2017,2017,UF17-081,2869,Male,White,29,4,114th,4,3
12/21/2017,2017,UF17-778,2870,Male,Hispanic,27,5,114th,3,5
01/08/2017,2017,UF17-003,2873,Male,Hispanic,36,4,114th,1,2
09/30/2017,2017,UF17-611,2874,Male,Hispanic,30,5,114th,3,2
08/23/2017,2017,UF17-508,2876,Male,Hispanic,28,5,114th,3,10
02/11/2017,2017,UF17-049,2877,Male,White,35,4,114th,2,2
09/29/2017,2017,UF17-601,2879,Male,White,32,5,114th,1,6
08/29/2017,2017,UF17-802,2881,Male,Hispanic,29,5,114th,7,3
06/29/2017,2017,UF17-328,2882,Male,White,33,5,114th,3,2
11/12/2017,2017,UF17-706,2887,Male,Hispanic,33,4,115th,8,2
04/29/2017,2017,UF17-209,2888,Male,Hispanic,33,4,115th,8,2
12/08/2017,2017,UF17-771,2890,Male,Hispanic,27,5,115th,12,2
09/09/2017,2017,UF17-686,2891,Male,Hispanic,27,4,115th,3,2
11/12/2017,2017,UF17-706,2892,Male,Hispanic,34,4,115th,5,5
02/09/2017,2017,UF17-055,2893,Male,Hispanic,32,4,115th,6,1
11/18/2017,2017,UF17-693,2896,Female,Hispanic,29,4,115th,7,2
09/02/2017,2017,UF17-567,2902,Male,Hispanic,28,4,115th,7,5
09/22/2017,2017,UF17-637,2904,Female,Hispanic,33,4,115th,3,6
05/05/2017,2017,UF17-290,2906,Male,Hispanic,32,4,115th,2,2
05/14/2017,2017,UF17-275,2908,Male,Hispanic,32,4,115th,7,1
10/10/2017,2017,UF17-628,2910,Male,White,29,4,115th,10,4
08/19/2017,2017,UF17-713,2914,Male,Hispanic,30,4,115th,9,3
05/26/2017,2017,UF17-270,2915,Female,Asian/Pacific Islander,30,4,115th,1,1
03/30/2017,2017,UF17-181,2916,Male,Hispanic,32,4,115th,6,1
04/08/2017,2017,UF17-250,2921,Male,White,30,4,115th,3,2
02/07/2017,2017,UF17-045,2923,Male,White,39,4,115th,1,3
10/20/2017,2017,UF17-627,2924,Male,Hispanic,33,4,115th,3,4
04/01/2017,2017,UF17-249,2926,Male,Hispanic,36,4,115th,3,2
04/23/2017,2017,UF17-256,2929,Male,Hispanic,32,3,116th,13,2
09/02/2017,2017,UF17-749,2930,Male,Hispanic,25,3,116th,3,2
08/18/2017,2017,UF17-539,2932,Male,White,26,3,116th,8,2
01/27/2017,2017,UF17-053,2934,Male,Hispanic,24,3,116th,10,4
04/01/2017,2017,UF17-183,2935,Male,Hispanic,31,3,116th,2,5
07/16/2017,2017,UF17-374,2937,Male,Hispanic,33,3,116th,7,2
12/13/2017,2017,UF17-774,2938,Male,Hispanic,46,4,116th,1,3
08/16/2017,2017,UF17-394,2939,Male,White,34,3,116th,6,2
09/12/2017,2017,UF17-569,2940,Male,Hispanic,30,3,116th,3,6
06/20/2017,2017,UF17-452,2942,Male,Hispanic,32,3,116th,8,6
11/03/2017,2017,UF17-655,2943,Male,Hispanic,33,4,116th,3,6
02/11/2017,2017,UF17-049,2944,Male,Hispanic,29,3,116th,2,4
04/18/2017,2017,UF17-223,2945,Female,Hispanic,37,3,116th,2,3
03/13/2017,2017,UF17-162,2950,Male,Hispanic,26,3,116th,8,3
05/30/2017,2017,UF17-265,2951,Male,Hispanic,27,3,116th,8,3
10/14/2017,2017,UF17-721,2953,Male,Hispanic,28,4,116th,3,3
06/12/2017,2017,UF17-404,2954,Male,Hispanic,32,3,116th,8,5
02/12/2017,2017,UF17-075,2955,Male,Hispanic,26,3,116th,6,1
01/06/2017,2017,UF17-016,2956,Male,Hispanic,30,3,116th,11,6
05/25/2017,2017,UF17-271,2957,Female,White,26,3,116th,6,2
11/24/2017,2017,UF17-711,2961,Female,Hispanic,28,4,116th,7,11
05/30/2017,2017,UF17-283,2962,Male,White,33,3,116th,6,6
07/03/2017,2017,UF17-432,2967,Male,Hispanic,28,3,117th,6,5
08/07/2017,2017,UF17-494,2968,Male,White,30,3,117th,4,8
09/26/2017,2017,UF17-554,2972,Male,Hispanic,39,3,117th,7,2
03/06/2017,2017,UF17-141,2974,Male,Hispanic,31,3,117th,7,4
07/06/2017,2017,UF17-365,2976,Male,Hispanic,26,3,117th,1,2
06/12/2017,2017,UF17-404,2977,Male,Hispanic,32,3,117th,14,2
10/27/2017,2017,UF17-666,2978,Male,Hispanic,27,3,117th,16,3
12/17/2017,2017,UF17-781,2979,Male,Hispanic,26,3,117th,8,2
10/14/2017,2017,UF17-619,2980,Female,Hispanic,37,3,117th,1,2
10/07/2017,2017,UF17-566,2981,Female,White,28,3,117th,2,3
10/26/2017,2017,UF17-649,2983,Male,White,36,3,117th,7,5
01/02/2017,2017,UF17-013,2984,Female,Hispanic,27,2,117th,4,2
10/04/2017,2017,UF17-642,2985,Male,Hispanic,41,3,117th,6,7
04/17/2017,2017,UF17-174,2986,Male,Hispanic,40,3,117th,4,4
01/02/2017,2017,UF17-013,2987,Male,Hispanic,25,2,117th,4,8
06/06/2017,2017,UF17-378,2989,Male,White,27,3,117th,2,1
01/25/2017,2017,UF17-034,2990,Male,Hispanic,34,2,117th,5,2
03/16/2017,2017,UF17-154,2994,Male,Hispanic,38,2,118th,9,3
09/01/2017,2017,UF17-531,2996,Male,Hispanic,30,2,118th,8,2
04/28/2017,2017,UF17-236,2997,Male,Hispanic,27,2,118th,10,4
10/30/2017,2017,UF17-718,3002,Male,Black,28,2,118th,2,5
06/10/2017,2017,UF17-293,3003,Male,Hispanic,27,2,118th,11,8
11/14/2017,2017,UF17-697,3007,Male,White,28,2,118th,1,4
06/10/2017,2017,UF17-293,3009,Male,Hispanic,28,2,118th,3,8
08/04/2017,2017,UF17-455,3010,Male,Hispanic,30,2,118th,7,8
01/27/2017,2017,UF17-019,3014,Male,White,25,2,118th,5,5
06/10/2017,2017,UF17-293,3016,Male,Hispanic,27,2,118th,7,8
06/10/2017,2017,UF17-293,3017,Male,Hispanic,27,2,118th,6,5
08/22/2017,2017,UF17-502,3018,Male,Hispanic,32,2,118th,4,3
03/31/2017,2017,UF17-286,3019,Female,White,27,2,118th,8,4
06/08/2017,2017,UF17-301,3020,Male,Hispanic,24,2,118th,7,2
04/28/2017,2017,UF17-235,3021,Male,Hispanic,31,2,118th,6,4
03/12/2017,2017,UF17-126,3025,Male,Hispanic,25,2,118th,8,3
09/12/2017,2017,UF17-569,3026,Male,Hispanic,26,2,118th,8,1
10/20/2017,2017,UF17-627,3027,Male,White,24,2,118th,6,4
08/19/2017,2017,UF17-607,3028,Male,White,24,2,118th,8,7
06/12/2017,2017,UF17-404,3029,Male,Hispanic,28,2,118th,5,5
02/10/2017,2017,UF17-117,3032,Female,Hispanic,38,2,118th,7,2
09/02/2017,2017,UF17-537,3033,Male,Hispanic,31,2,118th,7,3
10/01/2017,2017,UF17-623,3035,Male,White,27,2,118th,8,6
08/15/2017,2017,UF17-369,3036,Female,White,32,2,118th,3,2
07/25/2017,2017,UF17-478,3037,Male,Hispanic,27,1,119th,1,2
04/01/2017,2017,UF17-183,3038,Male,Hispanic,47,1,119th,1,3
05/13/2017,2017,UF17-315,3040,Male,Hispanic,29,1,119th,7,2
10/14/2017,2017,UF17-648,3041,Male,Hispanic,23,1,119th,1,2
08/14/2017,2017,UF17-524,3042,Male,Hispanic,34,1,119th,3,2
04/01/2017,2017,UF17-183,3043,Male,White,24,1,119th,3,3
07/27/2017,2017,UF17-485,3044,Male,Hispanic,24,1,119th,6,3
07/23/2017,2017,UF17-474,3045,Male,Black,23,1,119th,2,3
11/24/2017,2017,UF17-765,3047,Male,Hispanic,25,1,119th,6,2
04/20/2017,2017,UF17-211,3048,Female,Hispanic,32,1,119th,3,3
02/04/2017,2017,UF17-084,3049,Male,Hispanic,27,1,119th,4,3
02/02/2017,2017,UF17-095,3051,Male,Hispanic,23,1,119th,4,6
07/01/2017,2017,UF17-373,3053,Male,Hispanic,32,1,119th,6,2
10/14/2017,2017,UF17-745,3054,Male,White,45,1,119th,4,4
02/12/2017,2017,UF17-149,3056,Male,Hispanic,25,1,119th,7,5
08/07/2017,2017,UF17-494,3057,Male,Hispanic,40,1,119th,4,3
